rank,pool,type,name,default_drop_rate_percent,age_rule
34,Top-100 Cards,card,Star Dragon Card,0.070000,Age bonus applied separately
35,Top-100 Cards,card,Eternal Guardian Card,0.069091,Age bonus applied separately
36,Top-100 Cards,card,Inferno Lord Card,0.068182,Age bonus applied separately
37,Top-100 Cards,card,Glacial Queen Card,0.067273,Age bonus applied separately
38,Top-100 Cards,card,Thunder Roc Card,0.066364,Age bonus applied separately
39,Top-100 Cards,card,Ancient Kraken Card,0.065455,Age bonus applied separately
40,Top-100 Cards,card,Chronos Beast Card,0.064545,Age bonus applied separately
41,Top-100 Cards,card,Dawn Seraph Card,0.063636,Age bonus applied separately
42,Top-100 Cards,card,Dragon Tyrant Card,0.062727,Age bonus applied separately
43,Top-100 Cards,card,Moon Empress Card,0.061818,Age bonus applied separately
44,Top-100 Cards,card,Storm Leviathan Card,0.060909,Age bonus applied separately
45,Top-100 Cards,card,Verdant Treant Card,0.060000,Age bonus applied separately
46,Top-100 Cards,card,Nightmare Reaper Card,0.059091,Age bonus applied separately
47,Top-100 Cards,card,Ember Phoenix Lord Card,0.058182,Age bonus applied separately
48,Top-100 Cards,card,Star Seer Card,0.057273,Age bonus applied separately
49,Top-100 Cards,card,Iron Behemoth Card,0.056364,Age bonus applied separately
50,Top-100 Cards,card,Sovereign Paladin Card,0.055455,Age bonus applied separately
51,Top-100 Cards,card,Bloodfang Alpha Card,0.054545,Age bonus applied separately
52,Top-100 Cards,card,Arcane Titan Card,0.053636,Age bonus applied separately
53,Top-100 Cards,card,Skybreaker Mantis Card,0.052727,Age bonus applied separately
54,Top-100 Cards,card,Grave Emperor Card,0.051818,Age bonus applied separately
55,Top-100 Cards,card,Plague Lord Card,0.050909,Age bonus applied separately
56,Top-100 Cards,card,Forest Elder Card,0.050000,Age bonus applied separately
57,Top-100 Cards,card,Crimson Goblin King Card,0.049091,Age bonus applied separately
58,Top-100 Cards,card,Ancient Archdruid Card,0.048182,Age bonus applied separately
59,Top-100 Cards,card,Royal Poring King Card,0.047273,Age bonus applied separately
60,Top-100 Cards,card,Abyssal Wyrm Card,0.046364,Age bonus applied separately
61,Top-100 Cards,card,Celestial Champion Card,0.045455,Age bonus applied separately
62,Top-100 Cards,card,Void Archmage Card,0.044545,Age bonus applied separately
63,Top-100 Cards,card,Wild Falcon Lord Card,0.043636,Age bonus applied separately
64,Top-100 Cards,card,Shadow Assassin Card,0.042727,Age bonus applied separately
65,Top-100 Cards,card,Sacred High Priest Card,0.041818,Age bonus applied separately
66,Top-100 Cards,card,Merchant King Card,0.040909,Age bonus applied separately
67,Top-100 Cards,card,Warrior Emperor Card,0.040000,Age bonus applied separately
68,Top-100 Cards,card,Arcane Grandmaster Card,0.039091,Age bonus applied separately
69,Top-100 Cards,card,Ranger King Card,0.038182,Age bonus applied separately
70,Top-100 Cards,card,Thief Emperor Card,0.037273,Age bonus applied separately
71,Top-100 Cards,card,Aegis High Saint Card,0.036364,Age bonus applied separately
72,Top-100 Cards,card,Forge Grandmaster Card,0.035455,Age bonus applied separately
73,Top-100 Cards,card,World Tree Guardian Card,0.034545,Age bonus applied separately
74,Top-100 Cards,card,Starborn Dragon Card,0.033636,Age bonus applied separately
75,Top-100 Cards,card,Eternal Paladin Card,0.032727,Age bonus applied separately
76,Top-100 Cards,card,Inferno Emperor Card,0.031818,Age bonus applied separately
77,Top-100 Cards,card,Glacial Empress Card,0.030909,Age bonus applied separately
78,Top-100 Cards,card,Thunder Roc King Card,0.030000,Age bonus applied separately
79,Top-100 Cards,card,Ancient Kraken Lord Card,0.029091,Age bonus applied separately
80,Top-100 Cards,card,Chronos Dragon Card,0.028182,Age bonus applied separately
81,Top-100 Cards,card,Dawn Worldboss Card,0.027273,Age bonus applied separately
82,Top-100 Cards,card,Dragon Eternal Card,0.026364,Age bonus applied separately
83,Top-100 Cards,card,Moon World Serpent Card,0.025455,Age bonus applied separately
84,Top-100 Cards,card,Storm World Titan Card,0.024545,Age bonus applied separately
85,Top-100 Cards,card,Verdant World Ancient Card,0.023636,Age bonus applied separately
86,Top-100 Cards,card,Night Eternal Reaper Card,0.022727,Age bonus applied separately
87,Top-100 Cards,card,Ember Eternal Phoenix Card,0.021818,Age bonus applied separately
88,Top-100 Cards,card,Star Eternal Oracle Card,0.020909,Age bonus applied separately
89,Top-100 Cards,card,Iron World Colossus Card,0.020000,Age bonus applied separately
90,Top-100 Cards,card,Sovereign Eternal Guardian Card,0.019091,Age bonus applied separately
91,Top-100 Cards,card,Bloodfang World Wolf Card,0.018182,Age bonus applied separately
92,Top-100 Cards,card,Arcane World Golem Card,0.017273,Age bonus applied separately
93,Top-100 Cards,card,Sky World Mantis Card,0.016364,Age bonus applied separately
94,Top-100 Cards,card,Grave World Knight Card,0.015455,Age bonus applied separately
95,Top-100 Cards,card,Plague World Zombie Card,0.014545,Age bonus applied separately
96,Top-100 Cards,card,Forest World Orc Card,0.013636,Age bonus applied separately
97,Top-100 Cards,card,Crimson World Goblin Card,0.012727,Age bonus applied separately
98,Top-100 Cards,card,Ancient World Druid Card,0.011818,Age bonus applied separately
99,Top-100 Cards,card,Royal World Poring Card,0.010909,Age bonus applied separately
100,Top-100 Cards,card,Abyss World Dragon Card,0.010000,Age bonus applied separately
